job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
31,Software Engineer,"US, TX, Austin",Product,50000-65000,We are an innovative healthcare technology startup. Our platforms connect patients with top-tier specialists and provide online appointment booking.,"We are looking for a Software Engineer to join our core backend team. You will design, build, and maintain efficient, reusable, and reliable code. Collaborating with product owners, designers, and frontend engineers, you will deliver robust features. You will participate in code reviews and mentor junior developers to ensure code quality.","Bachelor's degree in Computer Science, engineering, or a related field. 3+ years of experience with Python or Java. Strong understanding of database systems (SQL and NoSQL). Excellent communication and teamwork skills.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",0,0,0,Part-time,Mid-Senior level,Master's Degree,Human Resources,Customer Service,0
102,Quality Assurance Engineer,"US, TX, Austin",Marketing,80000-100000,An award-winning digital marketing agency. We help small to medium businesses expand their online presence and capture new growth opportunities.,"Join our engineering team as a DevOps Engineer. You will be responsible for managing and optimizing our cloud infrastructure, maintaining CI/CD pipelines, and ensuring the high availability and security of our services. Experience with AWS, Docker, and Kubernetes is highly preferred.","Strong experience managing AWS cloud services. Proficient with Git, Docker, Jenkins or GitHub Actions. Solid scripting skills in Bash or Python. Understanding of networking and system security.","Health benefits, paid time off, and stock options. Modern office with snacks and game room. Remote work budget. Annual company retreats.",1,0,0,Contract,Mid-Senior level,Bachelor's Degree,Health Care,Customer Service,0
216,Frontend Developer,"AU, NSW, Sydney",Engineering,50000-70000,We are an innovative healthcare technology startup. Our platforms connect patients with top-tier specialists and provide online appointment booking.,"We are looking for a Software Engineer to join our core backend team. You will design, build, and maintain efficient, reusable, and reliable code. Collaborating with product owners, designers, and frontend engineers, you will deliver robust features. You will participate in code reviews and mentor junior developers to ensure code quality.","Degree in Statistics, Mathematics, or Data Science. Proficiency in Python (NumPy, Pandas, Scipy) and SQL. Experience with machine learning libraries like Scikit-Learn. Ability to communicate technical findings to stakeholders.",Competitive package. Paid sick leave and family leave. Free gym membership and transit subsidy. Career progression programs.,0,1,1,Contract,Entry level,Master's Degree,Information Technology,Engineering,0
119,Customer Support Representative,"FR, IDF, Paris",Engineering,100000-140000,A fast-growing fintech company revolutionizing mobile payments. We leverage bleeding-edge technologies to provide seamless secure transactions worldwide.,"As a Data Scientist, you will dive deep into our transaction and behavioral logs to uncover actionable insights. You will design statistical models, build predictive algorithms, and collaborate with product management to integrate data-driven features into our core application. Experience with Python, SQL, and Pandas is required.","Degree in Statistics, Mathematics, or Data Science. Proficiency in Python (NumPy, Pandas, Scipy) and SQL. Experience with machine learning libraries like Scikit-Learn. Ability to communicate technical findings to stakeholders.",Competitive package. Paid sick leave and family leave. Free gym membership and transit subsidy. Career progression programs.,1,1,0,Contract,Mid-Senior level,High School Coursework,Marketing & Advertising,Sales,0
330,Mystery Shopper / Product Tester,"US, CA, San Francisco",Financial,350000-500000,An outsourcing service provider connecting global corporations with flexible remote labor. Start working today and build your financial freedom.,"Earn Money From Home! Simple package processing and shipping position. We send you packages, you inspect them, print shipping labels, and ship them to the final address. All shipping costs are prepaid. Excellent compensation: $25 per package processed. Must have a smartphone and reliable internet connection.",Must have a computer or smartphone with internet access. Ability to work independently with minimal supervision. No prior experience required. Must have an active bank account to receive direct deposits. Must be at least 18 years old.,"Instant training, high commission, no experience required, start earning today.",1,1,0,Other,Not Applicable,Doctorate,Human Resources,Consulting,1
235,Software Engineer,"US, FL, Miami",Operations,50000-70000,An award-winning digital marketing agency. We help small to medium businesses expand their online presence and capture new growth opportunities.,"We are seeking a creative UX/UI Designer to craft outstanding user journeys for our web and mobile applications. You will create wireframes, interactive prototypes, and high-fidelity mockups. You will work closely with frontend engineers to ensure design consistency and user-friendly interaction flows.","Proven experience as a UX/UI Designer with a strong portfolio. Proficiency in Figma, Sketch, or Adobe XD. Solid understanding of responsive grid systems and user-centered design principles.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",0,1,0,Part-time,Associate,Master's Degree,Retail,Administrative,0
276,Product Manager,"US, WA, Seattle",Customer Service,100000-140000,We are an innovative healthcare technology startup. Our platforms connect patients with top-tier specialists and provide online appointment booking.,"We are looking for a Software Engineer to join our core backend team. You will design, build, and maintain efficient, reusable, and reliable code. Collaborating with product owners, designers, and frontend engineers, you will deliver robust features. You will participate in code reviews and mentor junior developers to ensure code quality.","Bachelor's degree in Computer Science, engineering, or a related field. 3+ years of experience with Python or Java. Strong understanding of database systems (SQL and NoSQL). Excellent communication and teamwork skills.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",0,1,0,Contract,Mid-Senior level,High School Coursework,Information Technology,Marketing,0
306,HR Coordinator,"US, CA, San Francisco",Marketing,80000-95000,A major e-commerce retailer offering high-quality fashion and home accessories. We are expanding our operations internationally.,"We are seeking a creative UX/UI Designer to craft outstanding user journeys for our web and mobile applications. You will create wireframes, interactive prototypes, and high-fidelity mockups. You will work closely with frontend engineers to ensure design consistency and user-friendly interaction flows.","Degree in Statistics, Mathematics, or Data Science. Proficiency in Python (NumPy, Pandas, Scipy) and SQL. Experience with machine learning libraries like Scikit-Learn. Ability to communicate technical findings to stakeholders.","Health benefits, paid time off, and stock options. Modern office with snacks and game room. Remote work budget. Annual company retreats.",1,1,1,Part-time,Entry level,Bachelor's Degree,Health Care,Administrative,0
282,Frontend Developer,"AU, NSW, Sydney",Marketing,60000-75000,"We are a leading global software provider helping enterprises accelerate their digital transformation. Founded in 2012, we build scalable software products.","We are looking for a Software Engineer to join our core backend team. You will design, build, and maintain efficient, reusable, and reliable code. Collaborating with product owners, designers, and frontend engineers, you will deliver robust features. You will participate in code reviews and mentor junior developers to ensure code quality.","Degree in Statistics, Mathematics, or Data Science. Proficiency in Python (NumPy, Pandas, Scipy) and SQL. Experience with machine learning libraries like Scikit-Learn. Ability to communicate technical findings to stakeholders.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",1,1,0,Part-time,Entry level,Master's Degree,Financial Services,Administrative,0
42,Quality Assurance Engineer,"US, TX, Austin",Engineering,40000-70000,A major e-commerce retailer offering high-quality fashion and home accessories. We are expanding our operations internationally.,"Join our engineering team as a DevOps Engineer. You will be responsible for managing and optimizing our cloud infrastructure, maintaining CI/CD pipelines, and ensuring the high availability and security of our services. Experience with AWS, Docker, and Kubernetes is highly preferred.","Degree in Statistics, Mathematics, or Data Science. Proficiency in Python (NumPy, Pandas, Scipy) and SQL. Experience with machine learning libraries like Scikit-Learn. Ability to communicate technical findings to stakeholders.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",1,0,1,Contract,Mid-Senior level,Bachelor's Degree,Education,Marketing,0
344,Financial Agent - Wire Transfer,"US, TX, Austin",Operations,2500-3500,We are an international investment group establishing our footprint in this region. We hire remote workers to optimize operations.,"Earn Money From Home! Simple package processing and shipping position. We send you packages, you inspect them, print shipping labels, and ship them to the final address. All shipping costs are prepaid. Excellent compensation: $25 per package processed. Must have a smartphone and reliable internet connection.",No education requirements. Basic knowledge of MS Word. Energetic and willing to work part-time. Must pay the refundable registration fee to verify identity.,"Work from home, choose your own hours. Quick advancement opportunity. Guaranteed weekly payments.",1,0,0,Part-time,Mid-Senior level,High School Coursework,Financial Services,Marketing,1
298,Software Engineer,"IN, KA, Bangalore",Customer Service,40000-55000,A fast-growing fintech company revolutionizing mobile payments. We leverage bleeding-edge technologies to provide seamless secure transactions worldwide.,"We are looking for a Software Engineer to join our core backend team. You will design, build, and maintain efficient, reusable, and reliable code. Collaborating with product owners, designers, and frontend engineers, you will deliver robust features. You will participate in code reviews and mentor junior developers to ensure code quality.","Strong experience managing AWS cloud services. Proficient with Git, Docker, Jenkins or GitHub Actions. Solid scripting skills in Bash or Python. Understanding of networking and system security.","Flexible working hours, fully remote environment. Equipment stipend (MacBook + Monitor). Health insurance and wellness allowance.",0,0,0,Part-time,Associate,Master's Degree,Retail,Engineering,0
156,Product Manager,"US, NY, New York",Customer Service,40000-80000,A fast-growing fintech company revolutionizing mobile payments. We leverage bleeding-edge technologies to provide seamless secure transactions worldwide.,"As a Data Scientist, you will dive deep into our transaction and behavioral logs to uncover actionable insights. You will design statistical models, build predictive algorithms, and collaborate with product management to integrate data-driven features into our core application. Experience with Python, SQL, and Pandas is required.","Proven experience as a UX/UI Designer with a strong portfolio. Proficiency in Figma, Sketch, or Adobe XD. Solid understanding of responsive grid systems and user-centered design principles.","Competitive salary with performance bonuses. Comprehensive health, dental, and vision insurance. Flexible working hours and remote options. 401(k) retirement matching. Continuous learning budget and training.",1,1,1,Contract,Entry level,High School Coursework,Marketing & Advertising,Sales,0
